"sk_produk","nama_produk","sk_cabang","nama_cabang","bulan","tahun","total_terjual"
1,"bawang merah 1kg",39,"PHI Mini Market - Makassar 01","1","2008","3114"
1,"bawang merah 1kg",47,"PHI Mini Market - Jakarta Pusat 01","1","2008","3202"
1,"bawang merah 1kg",65,"PHI Mini Market - Surabaya 01","1","2008","3160"
2,"bawang putih 1 kg",39,"PHI Mini Market - Makassar 01","1","2008","3243"
2,"bawang putih 1 kg",47,"PHI Mini Market - Jakarta Pusat 01","1","2008","3170"
2,"bawang putih 1 kg",65,"PHI Mini Market - Surabaya 01","1","2008","3156"
3,"buncis 1 kg",39,"PHI Mini Market - Makassar 01","1","2008","3046"
3,"buncis 1 kg",47,"PHI Mini Market - Jakarta Pusat 01","1","2008","3067"
3,"buncis 1 kg",65,"PHI Mini Market - Surabaya 01","1","2008","3125"
4,"kacang panjang 1 kg",39,"PHI Mini Market - Makassar 01","1","2008","3150"
4,"kacang panjang 1 kg",47,"PHI Mini Market - Jakarta Pusat 01","1","2008","3388"
4,"kacang panjang 1 kg",65,"PHI Mini Market - Surabaya 01","1","2008","3023"
5,"kacang hijau 1 kg",39,"PHI Mini Market - Makassar 01","1","2008","3042"
5,"kacang hijau 1 kg",47,"PHI Mini Market - Jakarta Pusat 01","1","2008","3125"
5,"kacang hijau 1 kg",65,"PHI Mini Market - Surabaya 01","1","2008","3300"
6,"kentang 1 kg",39,"PHI Mini Market - Makassar 01","1","2008","3296"
6,"kentang 1 kg",47,"PHI Mini Market - Jakarta Pusat 01","1","2008","3483"
6,"kentang 1 kg",65,"PHI Mini Market - Surabaya 01","1","2008","2969"
7,"ketimun 1 kg",39,"PHI Mini Market - Makassar 01","1","2008","2667"
7,"ketimun 1 kg",47,"PHI Mini Market - Jakarta Pusat 01","1","2008","3369"
7,"ketimun 1 kg",65,"PHI Mini Market - Surabaya 01","1","2008","2982"
8,"kobis 1 kg",39,"PHI Mini Market - Makassar 01","1","2008","2934"
8,"kobis 1 kg",47,"PHI Mini Market - Jakarta Pusat 01","1","2008","3412"
8,"kobis 1 kg",65,"PHI Mini Market - Surabaya 01","1","2008","3022"
9,"tomat 1 kg",39,"PHI Mini Market - Makassar 01","1","2008","3218"
9,"tomat 1 kg",47,"PHI Mini Market - Jakarta Pusat 01","1","2008","3243"
9,"tomat 1 kg",65,"PHI Mini Market - Surabaya 01","1","2008","3346"
10,"ubi kayu basah 1 kg",39,"PHI Mini Market - Makassar 01","1","2008","3254"
10,"ubi kayu basah 1 kg",47,"PHI Mini Market - Jakarta Pusat 01","1","2008","3118"
10,"ubi kayu basah 1 kg",65,"PHI Mini Market - Surabaya 01","1","2008","2831"
11,"ubi jalar 1 kg",39,"PHI Mini Market - Makassar 01","1","2008","3054"
11,"ubi jalar 1 kg",47,"PHI Mini Market - Jakarta Pusat 01","1","2008","3423"
11,"ubi jalar 1 kg",65,"PHI Mini Market - Surabaya 01","1","2008","3198"
12,"wortel 1 kg",39,"PHI Mini Market - Makassar 01","1","2008","3017"
12,"wortel 1 kg",47,"PHI Mini Market - Jakarta Pusat 01","1","2008","3338"
12,"wortel 1 kg",65,"PHI Mini Market - Surabaya 01","1","2008","2833"
13,"susu kotak (800 ml)",39,"PHI Mini Market - Makassar 01","1","2008","3089"
13,"susu kotak (800 ml)",47,"PHI Mini Market - Jakarta Pusat 01","1","2008","3251"
13,"susu kotak (800 ml)",65,"PHI Mini Market - Surabaya 01","1","2008","2998"
14,"telur ayam ras 1 kg",39,"PHI Mini Market - Makassar 01","1","2008","3201"
14,"telur ayam ras 1 kg",47,"PHI Mini Market - Jakarta Pusat 01","1","2008","3317"
14,"telur ayam ras 1 kg",65,"PHI Mini Market - Surabaya 01","1","2008","3077"
15,"telur ayam kampung 1 kg",39,"PHI Mini Market - Makassar 01","1","2008","3257"
15,"telur ayam kampung 1 kg",47,"PHI Mini Market - Jakarta Pusat 01","1","2008","2978"
15,"telur ayam kampung 1 kg",65,"PHI Mini Market - Surabaya 01","1","2008","3614"
16,"mie instant 1 kotak (40 bungkus)",39,"PHI Mini Market - Makassar 01","1","2008","3147"
16,"mie instant 1 kotak (40 bungkus)",47,"PHI Mini Market - Jakarta Pusat 01","1","2008","3095"
16,"mie instant 1 kotak (40 bungkus)",65,"PHI Mini Market - Surabaya 01","1","2008","3341"
17,"air mineral 600 ml",39,"PHI Mini Market - Makassar 01","1","2008","3080"
17,"air mineral 600 ml",47,"PHI Mini Market - Jakarta Pusat 01","1","2008","3596"
17,"air mineral 600 ml",65,"PHI Mini Market - Surabaya 01","1","2008","3054"
18,"jus kesehatan 600 ml",39,"PHI Mini Market - Makassar 01","1","2008","3542"
18,"jus kesehatan 600 ml",47,"PHI Mini Market - Jakarta Pusat 01","1","2008","3265"
